plot code,Season code,Sitlav - Soybeans - Yield - KG/Ha,mean_savi2,min_savi2,max_savi2,skew_savi2,kurt_savi2,std_savi2,mean_ndwi,min_ndwi,max_ndwi,skew_ndwi,kurt_ndwi,std_ndwi,mean_savi,min_savi,max_savi,skew_savi,kurt_savi,std_savi,mean_mndvi,min_mndvi,max_mndvi,skew_mndvi,kurt_mndvi,std_mndvi,mean_ndmi,min_ndmi,max_ndmi,skew_ndmi,kurt_ndmi,std_ndmi,mean_evi,min_evi,max_evi,skew_evi,kurt_evi,std_evi,mean_arvi,min_arvi,max_arvi,skew_arvi,kurt_arvi,std_arvi,mean_ndvi,min_ndvi,max_ndvi,skew_ndvi,kurt_ndvi,std_ndvi,mean_msavi,min_msavi,max_msavi,skew_msavi,kurt_msavi,std_msavi,mean_cri,min_cri,max_cri,skew_cri,kurt_cri,std_cri,mean_cari,min_cari,max_cari,skew_cari,kurt_cari,std_cari,CLASSE_DOM,mean_cec_0_5,mean_cec_15_30,mean_cec_30_60,mean_cec_5_15,mean_clay_0_5,mean_clay_15_30,mean_clay_30_60,mean_clay_5_15,mean_ph_0_5,mean_sand_0_5,mean_sand_15_30,mean_sand_5_15,mean_silt_0_5,mean_silt_15_30,mean_silt_30_60,mean_silt_5_15,mean_soc_0_5,mean_soc_15_30,mean_soc_30_60,mean_soc_5_15,mean_rain,min_rain,max_rain,skew_rain,kurt_rain,sum_rain,mean_mean temp,min_mean temp,max_mean temp,skew_mean temp,kurt_mean temp,mean_min temp,min_min temp,max_min temp,skew_min temp,kurt_min temp,mean_max temp,min_max temp,max_max temp,skew_max temp,kurt_max temp
AL549648Z,CR196HWQ141Z,3720,0.03451552173,0.02280366569,0.04498790725,-0.4943152105,,0.01114393821,-0.7035794061,-0.8170656452,-0.5368375075,1.412880874,,0.1475095802,0.24004641,-0.4943152105,0.8095745616,0.04233199845,-0.4773626138,0.3760831161,1.121968833,1.051179843,1.221243846,1.297945324,,0.08853830493,0.2629177723,0.1202060473,0.3558487837,-1.504414946,,0.1254610074,0.7792850819,0.4770110084,1.004267764,-1.17548934,,0.2719933657,0.7129766279,0.5449085632,0.8185982958,-1.565797911,,0.1471434055,0.9528435256,0.08853830493,1.297945324,-1.730872735,3.252084395,0.3488723925,0.6372844227,0.3754325212,0.8095745616,-1.484466302,,0.23051206,4.5208177,3.662016219,5.898923961,1.578786912,,1.205486273,0.3292564703,0.2944608542,0.348998391,-1.685287165,,0.03022492413,LVAd,131.7234043,92.34042553,80.59574468,113.6595745,228.2978723,270.9361702,591.7659574,222.5319149,38.65957447,591.7659574,553.8510638,597.4255319,503.9361702,180.106383,175.1702128,180.0425532,58.23404255,184.4468085,123.2978723,226.3191489,4.575,0,80,4.370865415,24.61448444,366,25.4551404,23.875,27.5,0.1661526309,-0.8837043573,22.65,21,23,-0.9398482228,-0.4334818206,30.8,27,34,-0.581392593,-0.7282280527
AL549649Z,CR196NSMKZ,3600,0.03735984232,0.02928258524,0.04286748627,-1.408677822,,0.007147696676,-0.7359261836,-0.7998962722,-0.6287067507,1.636704235,,0.09343094992,0.2008049656,-1.408677822,0.8031384442,-1.74247225,4.648705839,0.5652605377,1.08866795,1.084408955,1.096758628,1.724813066,,0.007009988902,0.3093451993,0.1947089222,0.3781828102,-1.629081783,,0.09994401071,0.8621938756,0.6682076743,0.9777475415,-1.638533981,,0.1690191685,0.7603135145,0.6666824665,0.8123424755,-1.700018925,,0.08125429096,0.9774445431,0.007009988902,1.724813066,-0.9153550123,3.871753171,0.4070536189,0.7003178384,0.5443792368,0.8031384442,-1.480268438,,0.1373143218,4.727697395,3.133037551,6.226469927,-0.2775047987,,1.548943753,0.3520145615,0.3264970696,0.39044991,1.466427483,,0.03387690528,LVAd,132.4307692,93.64615385,79.46153846,115.6461538,214.3538462,259.1230769,610.8615385,208.1384615,40.13846154,610.8615385,573.1692308,616.6307692,518.9692308,175.3230769,167.6307692,174.8307692,58.07692308,188.2153846,127.9538462,203.5538462,4.575,0,80,4.370865415,24.61448444,366,25.4551404,23.875,27.5,0.1661526309,-0.8837043573,22.65,21,23,-0.9398482228,-0.4334818206,30.8,27,34,-0.581392593,-0.7282280527
AL549319Z,CR196NSLNZ,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LVAd,132.037037,107.1481481,93.85185185,134.1111111,211.8148148,259.2592593,609.0740741,207.9259259,40.59259259,609.0740741,569.962963,612.962963,522.4444444,179.2222222,170.7777778,178.962963,57.51851852,190.037037,134.1481481,207.8148148,,,,,,0,,,,,,,,,,,,,,,
AL549320Z,CR196NSLPZ,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LVAd,133.3225806,92.61290323,77.5483871,113.9354839,210.483871,262.9354839,608.1935484,212.3225806,39.64516129,608.1935484,566.1935484,609.4516129,523.516129,178.2580645,171.0322581,181.3225806,58,184.2903226,134.516129,208.4516129,,,,,,0,,,,,,,,,,,,,,,
AL549324Z,CR196HWQ142Z,3600,0.03193390866,0.02963933934,0.03554502309,1.5478836,,0.003165318848,-0.7280941614,-0.7751613752,-0.6449888488,1.68666976,,0.07218226984,0.378908717,0.003165318848,1.5478836,1.431740661,2.553550123,0.442326537,1.092255188,1.033379079,1.164170605,0.8500391048,,0.06636357018,0.2935764479,0.2049388746,0.3525296431,-1.462726786,,0.07814493238,0.7551962832,0.6820232206,0.8582770955,1.309865961,,0.09185429886,0.7420016374,0.6616477703,0.7922392617,-1.573841789,,0.0703119866,0.9012988533,0.06636357018,1.164170605,-2.136923873,5.408784211,0.3127235625,0.6252629455,0.5545015425,0.7447672037,1.645246597,,0.1040776388,3.760628342,0.1889068495,6.651975786,-0.892084839,,3.284813032,0.3096825534,0.2159205874,0.370401577,-1.514679374,,0.08237093586,LVAd,129.2352941,106.6470588,94.35294118,137,219.0588235,256.5294118,587.7058824,213,39.47058824,587.7058824,553,594.0588235,499.4705882,192.7058824,190.4705882,193.3529412,58.05882353,180.0588235,120.8235294,227.4705882,4.575,0,80,4.370865415,24.61448444,366,25.4707654,23.875,27.5,0.1329946289,-0.9443527921,22.6375,21,23,-0.875805132,-0.5694353853,30.825,27,34,-0.5893750598,-0.7496579146
AL549650Z,CR196HWQ143Z,3600,0.02900957883,0.01814728105,0.03599287195,-1.369842859,2.431186882,0.007648546977,-0.6365918181,-0.7914671614,-0.3493943189,1.313209825,1.039461868,0.2055482801,0.2891641925,-1.369842859,2.431186882,0.9831193306,5.79237159,0.7115474778,0.8847057078,0.4180223701,1.076968649,-1.911818717,3.680423305,0.3135035678,0.137851416,-0.2936942548,0.3624195033,-1.500186335,1.954587075,0.3020198159,0.6097924084,0.150874306,0.8652787458,-1.553201382,2.454843828,0.318676926,0.5959391614,0.1844521087,0.7952231417,-1.633642704,2.527282316,0.2839325611,0.7590875054,-1.911818717,3.680423305,0.3461749423,5.261502796,1.136085357,0.5185222419,0.1345085908,0.7522615896,-1.366291279,1.834459412,0.2718040775,3.953858893,2.409407079,6.846046984,1.359749985,1.268229128,2.057999916,0.3426203535,0.2022201922,0.442325893,-1.048694384,1.309851933,0.1025257354,LVAd,129.7407407,103.3703704,91.83950617,125.4197531,217.3950617,257.0740741,612.308642,213.382716,44.07407407,612.308642,576.7283951,616.654321,525.345679,169.9382716,166.308642,170.3209877,56.79012346,199.6790123,137.0864198,219.2716049,4.575,0,80,4.370865415,24.61448444,366,25.4707654,23.875,27.5,0.1329946289,-0.9443527921,22.6375,21,23,-0.875805132,-0.5694353853,30.825,27,34,-0.5893750598,-0.7496579146
AL549323Z,CR196NSLQZ,3900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LVAd,131.6923077,100.4102564,85.69230769,126,218.2564103,265.8205128,611.2564103,215.9230769,43.17948718,611.2564103,567.6153846,612.4358974,517.2820513,171.6153846,166.6923077,170.3846154,56.38461538,201.2564103,139.8974359,211.1282051,,,,,,0,,,,,,,,,,,,,,,
AL549327Z,CR196NSLRZ,3480,0.03037591524,0.01654485368,0.03898354554,-1.044013843,-0.1295304724,0.01025282782,-0.6285051454,-0.8036424958,-0.3328523474,1.338925826,1.474716592,0.2103576781,0.1685862906,-1.044013843,0.7972510483,-0.9985988653,2.923312932,0.4244808449,0.8539680032,0.3347120701,1.077882853,-1.789898928,3.180551758,0.3527994904,0.1288935431,-0.3082919028,0.3649256554,-1.339797322,1.178854333,0.3118327812,0.6235828459,0.1225309167,0.9203587367,-1.297917236,1.218994999,0.358487193,0.5893549502,0.156485549,0.8133631321,-1.598474078,2.453930009,0.2996045335,0.714344087,-1.789898928,3.180551758,-0.07161462858,4.771222193,1.02113542,0.5234191125,0.1088209533,0.7972510483,-1.175094164,1.257562221,0.2995948788,4.288310528,2.225495228,6.620058206,0.3653469107,-0.4143024659,1.870402175,0.3552992743,0.3017275719,0.4119448543,0.09036313851,-4.029576343,0.05183946948,LVAd,132.6176471,92.73529412,76.64705882,116.6764706,216.7941176,267.4705882,611.6470588,216.1176471,39.11764706,611.6470588,567.7647059,613.2647059,518.5,170.6470588,164.7058824,171.5588235,57.41176471,191.4705882,134,210.3529412,3.7375,0,56.5,3.645333618,15.9744177,299,25.42567935,23.875,27.5,0.2159597702,-0.9273634485,22.65,21,23,-0.9398482228,-0.4334818206,30.6875,27,34,-0.4763698766,-0.9033245294
AL549328Z,CR196NSLSZ,3480,0.03051629317,0.01703699851,0.04306514122,-0.1225710297,-3.808762882,0.01214377552,-0.5885049752,-0.8076853549,-0.3298141799,0.2490668415,-3.985213868,0.2276827076,0.002591912614,-3.808762882,0.7916539921,-3.599107761,14.44902593,0.996151944,0.7705758495,0.3610333838,1.07786501,-0.4958836777,-2.886229055,0.3364523785,0.09068053775,-0.306493585,0.3598047227,-0.7579495496,-1.594929324,0.308794287,0.5880127332,0.1368135623,0.9540645649,-0.233047786,-4.53957988,0.4053322108,0.5294989724,0.169331327,0.813467953,-0.3373865572,-3.836925942,0.31016316,0.3275139494,-2.886229055,1.07786501,-2.734935449,8.47535,1.01824475,0.4914228704,0.1180748732,0.7916539921,-0.2383746003,-4.53737003,0.3349394957,4.104231465,2.073624656,6.654434398,0.4543912809,-2.596350706,2.096892467,0.3667047223,0.3054615296,0.4201267855,-0.4942118444,1.633965127,0.04703107336,LVAd,130,90.03448276,75.55172414,104.2758621,228.5172414,277.2068966,610.2758621,229.7586207,37.13793103,610.2758621,570.137931,610.5172414,523.3103448,159.7931034,152.6896552,161.1724138,56.82758621,170.3103448,124.0344828,235.4827586,3.2875,0,48,3.440677943,13.35306246,263,25.44182518,23.875,27.5,0.188937252,-0.8937379861,22.65,21,23,-0.9398482228,-0.4334818206,30.725,27,34,-0.5254046371,-0.8511575264
AL549326Z,CR196NSLTZ,3480,0.03361450184,0.01810685543,0.04417319615,-1.133709539,1.336667906,0.01123760685,-0.5223832906,-0.8071602858,-0.1322481172,0.3354219719,-4.094794801,0.3383013129,0.221221284,-1.133709539,1.336667906,-0.2581156068,2.552145401,0.5173181823,0.8192199231,0.369886319,1.076728218,-1.14407547,0.2222341364,0.3288230417,0.1280539195,-0.3009324938,0.3732197935,-1.126800018,0.1250607418,0.3147309427,0.6075224668,0.1448397614,0.9926200269,-0.2374128058,-4.323246047,0.4123761985,0.4890986367,0.1446270374,0.8262782137,-0.003876127254,-5.962169082,0.3809284984,0.5057529704,-1.14407547,1.076728218,-1.71528619,4.112759162,0.588604967,0.4647818218,0.1272130131,0.8061162352,0.0007175293882,-5.994517257,0.3872377005,3.563484063,0.1485665004,6.554395988,-0.234078432,-3.545021899,2.978883454,0.4963935384,0.3189393365,0.8977066083,1.780091347,3.143926548,0.2729138428,LVAd,132.0454545,89.59090909,76.09090909,109.6818182,210.1363636,261.2272727,620,207.3636364,37.72727273,620,578.2727273,624,531.0454545,168.5454545,160.5,169.8181818,58.09090909,188.6363636,125.0909091,201.9090909,3.2875,0,48,3.440677943,13.35306246,263,25.44182518,23.875,27.5,0.188937252,-0.8937379861,22.65,21,23,-0.9398482228,-0.4334818206,30.725,27,34,-0.5254046371,-0.8511575264
